Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
KU199678,Caloplaca zeorina,holotype of Caloplaca zeorina,Yes,,KoLRI 023976,China,25-Jul-2014,"S.O. Oh, S.K. Han, and J.S. Hur",,,NCBI type_material qualifier,
KU199677,Caloplaca zeorina,holotype of Caloplaca zeorina,Yes,,KoLRI 023976,China,25-Jul-2014,"S.O. Oh, S.K. Han, and J.S. Hur",,,NCBI type_material qualifier,
EU367444,Calosphaeria africana,"culture from holotype of Calosphaeria
                     africana",Yes,,,,,,,,NCBI type_material qualifier,
EU367451,Calosphaeria pulchella,"culture from isotype of Sphaeria
                     pulchella",Yes,,,,,,,,NCBI type_material qualifier,
OR143132,Calosporella punctatispora,holotype of Calosporella punctatispora,Yes,D336,WU-MYC 0050080,France,11-Apr-2020,,,,NCBI type_material qualifier,
MK660493,Calvatia brasiliensis,holotype of Calvatia brasiliensis,Yes,,UFRN-Fungos 3039,Brazil,17-Feb-2017,Oliveira R.L.,,,NCBI type_material qualifier,
OR792617,Calvatia longisetulosa,"culture from holotype of Calvatia
                     longisetulosa",Yes,THAI20190073,,China,,,,,NCBI type_material qualifier,
PX857141,Calvatia polobuniformis,holotype of Calvatia polobuniformis,Yes,,HKAS153554 (HT),China,2021/2025,,,,NCBI type_material qualifier,
OR792623,Calvatia shennongjiaensis,"culture from holotype of Calvatia
                     shennongjiaensis",Yes,ZRL20221248,,China,,,,,NCBI type_material qualifier,
OR792630,Calvatia subbooniana,"culture from holotype of Calvatia
                     subbooniana",Yes,ZRL20191927,,China,,,,,NCBI type_material qualifier,
KR303663,Calvitimela cuprea,holotype of Calvitimela cuprea,Yes,,OL-179566,,,,,,NCBI type_material qualifier,
KR303627,Calvitimela livida,holotype of Calvitimela livida,Yes,,O-L-163835,Norway,,,,,NCBI type_material qualifier,
KJ834524,Calvolachnella guaviyunis,"culture from holotype of Calvolachnella
                     guaviyunis",Yes,,,Uruguay,,MJ Wingfield,,,NCBI type_material qualifier,
KY305095,Calycina alstrupii,type material of Calycina alstrupii,Yes,Pz162,BILAS:Motiejunaite 10761,Norway,05-Aug-2015,Jurga Motiejunaite,,,NCBI type_material qualifier,
MN017444,Calycina cortegadensis,holotype of Calycina cortegadensis,Yes,,MSS906,"Spain: Galicia, Pontevedra, Parque Nacional
                     de las Islas Atlanticas de Galicia, Illa de Cortegada",22-Dec-2017,Saul de la Pena-Lastra,,,NCBI type_material qualifier,
MN562114,Calycina eucalypticola,"culture from holotype of Chalara
                     eucalypticola",Yes,,,South Africa: KwaZulu-Natal Province,,M.J. Wingfield,,,NCBI type_material qualifier,
KX781358,Calycina montana,holotype of Bisporella montana,Yes,,HMAS 275566,,,,,,NCBI type_material qualifier,
OQ079546,Calycina papaeana,holotype of Calycina papaeana,Yes,,CM11,Thailand,,,,,NCBI type_material qualifier,
KX781359,Calycina shangrilana,holotype of Bisporella shangrilana,Yes,,HMAS 275568,,,,,,NCBI type_material qualifier,
PZ014686,Calyptella epibrya,Isotype of Calyptella epibrya,No,T-3743,F:C0004034F,"Argentina: Tucuman, San Agustin",14-May-1961,R. T. Guerrero & R. Singer,GITS7,ITS4,Mycota Labs; Run116 - Types; MyCoPortal.org #2831130,2831130
PZ014689,Calyptella flava,Holotype of Calyptella flava,No,T-3899,F:C0004035F,"Argentina: Jujuy, San Salvador de Jujuy",09-Feb-1965,R. Singer,GITS7,ITS4,Mycota Labs; Run116 - Types; MyCoPortal.org #2832009,2832009
KY931778,Calyptosphaeria tenebrosa,holotype of Calyptosphaeria tenebrosa,Yes,,,,,,,,NCBI type_material qualifier,
PP505406,Camarophyllopsis kearneyi,holotype of Camarophyllopsis kearneyi,Yes,FT0098_ITS,DAR 73919,Australia: New South Wales,1998-06-13,,,,NCBI type_material qualifier,
PX956810,Camarophyllus hieronymi,Holotype of Camarophyllus hieronymi,Yes,,F:C0004037F (B-968),Bolivia: La Paz,07-Feb-1956,R. Singer,GITS7,ITS4,Mycota Labs; Run116 - Types; MyCoPortal.org #2832010,2832010
PQ863520,Camarosporidiella aceris,holotype of Camarosporidiella aceris,Yes,,WU:MYC:0037940,Austria,2012-02-25,,,,NCBI type_material qualifier,
PQ863522,Camarosporidiella aetnensis,holotype of Camarosporidiella aetnensis,Yes,,WU:MYC:0037942,Italy,2016-06-17,,,,NCBI type_material qualifier,
PQ863524,Camarosporidiella aragonensis,holotype of Camarosporidiella aragonensis,Yes,,WU:MYC:0037944,Spain,2014-05-12,,,,NCBI type_material qualifier,
KP711377,Camarosporidiella arborescentis,"holotype of Camarosporidiella
                     arborescentis",Yes,,MFLU 14-0793,Russia,08-May-2014,T. Bulgakov,,,NCBI type_material qualifier,
KP120926,Camarosporidiella arezzoensis,"culture from holotype of Camarosporium
                     arezzoense",Yes,,,,,,,,NCBI type_material qualifier,
PQ863526,Camarosporidiella asparagi,epitype of Cucurbitaria asparagi,Yes,,WU:MYC:0037946,Spain,2014-05-12,,,,NCBI type_material qualifier,
PQ863527,Camarosporidiella asparagicola,"holotype of Camarosporidiella
                     asparagicola",Yes,,WU:MYC:0037947,Spain,2014-04-20,,,,NCBI type_material qualifier,
PQ863530,Camarosporidiella astragalicola,"holotype of Camarosporidiella
                     astragalicola",Yes,,WU:MYC:0037949,Greece,2015-06-08,,,,NCBI type_material qualifier,
PQ863529,Camarosporidiella astragalicola,"holotype of Camarosporidiella
                     astragalicola",Yes,,WU:MYC:0037949,Greece,2015-06-08,,,,NCBI type_material qualifier,
PQ863533,Camarosporidiella caraganae,epitype of Cucurbitaria caraganae,Yes,,WU:MYC:0037952,Austria,2013-09-22,,,,NCBI type_material qualifier,
KP711380,Camarosporidiella caraganicola,"holotype of Camarosporidiella
                     caraganicola",Yes,,MFLU 14-0794,Russia,26-Apr-2014,T. Bulgakov,,,NCBI type_material qualifier,
KJ562213,Camarosporidiella clematidis,"culture from holotype of Camarosporium
                     clematidis",Yes,,,Italy,,,,,NCBI type_material qualifier,
PQ863538,Camarosporidiella coluteae,epitype of Cucurbitaria coluteae,Yes,,WU:MYC:0037957,Austria,2013-09-15,,,,NCBI type_material qualifier,
PQ863537,Camarosporidiella coluteae,epitype of Cucurbitaria coluteae,Yes,,WU:MYC:0037957,Austria,2013-09-15,,,,NCBI type_material qualifier,
PQ863543,Camarosporidiella cretica,holotype of Camarosporidiella cretica,Yes,,WU:MYC:0037963,Greece,2015-06-08,,,,NCBI type_material qualifier,
PQ863566,Camarosporidiella cytisi,epitype of Cucurbitaria cytisi,Yes,,WU:MYC:0052599,Spain,2015-04-08,,,,NCBI type_material qualifier,
PQ863571,Camarosporidiella echinosparti,"culture from holotype of Camarosporidiella
                     echinosparti",Yes,,WU:MYC:0037966,Spain,2014-05-12,,,,NCBI type_material qualifier,
PQ863570,Camarosporidiella echinosparti,"holotype of Camarosporidiella
                     echinosparti",Yes,,WU:MYC:0037965,Spain,2014-04-19,,,,NCBI type_material qualifier,
PQ863574,Camarosporidiella elaeagni,epitype of Dichomera elaeagni,Yes,,WU:MYC:0037968,Hungary,2014-05-31,,,,NCBI type_material qualifier,
PQ863573,Camarosporidiella elaeagni,epitype of Dichomera elaeagni,Yes,,WU:MYC:0037968,Hungary,2014-05-31,,,,NCBI type_material qualifier,
PQ863584,Camarosporidiella elongata,epitype of Sphaeria elongata,Yes,,WU:MYC:0037977,Spain,2014-04-07,,,,NCBI type_material qualifier,
MF434145,Camarosporidiella eufemiana,holotype of Camarosporidiella eufemiana,Yes,,MFLU:16-0182,Italy,,Erio Camporesi,,,NCBI type_material qualifier,
PQ863592,Camarosporidiella euonymi,epitype of Cucurbitaria euonymi,Yes,,WU:MYC:0037985,Austria,2016-11-21,,,,NCBI type_material qualifier,
PQ863591,Camarosporidiella euonymi,epitype of Cucurbitaria euonymi,Yes,,WU:MYC:0037985,Austria,2016-11-21,,,,NCBI type_material qualifier,
MF434146,Camarosporidiella halimodendri,"holotype of Camarosporidiella
                     halimodendri",Yes,,MFLU:17-0463,Russia,,Bulgakov T.S.,,,NCBI type_material qualifier,
PQ863593,Camarosporidiella hesperolaburni,"holotype of Camarosporidiella
                     hesperolaburni",Yes,,WU:MYC:0052603,Morocco,2015-05-09,,,,NCBI type_material qualifier,
MF434152,Camarosporidiella italica,"culture from holotype of Camarosporidiella
                     italica",Yes,,MFLU:17-0139,Italy,,Erio Camporesi,,,NCBI type_material qualifier,
PQ863601,Camarosporidiella laburni,epitype of Sphaeria laburni,Yes,,WU:MYC:0052610,Austria,2013-11-16,,,,NCBI type_material qualifier,
PQ863602,Camarosporidiella laburni,epitype of Sphaeria laburni,Yes,,WU:MYC:0052610,Austria,2013-11-16,,,,NCBI type_material qualifier,
KY497784,Camarosporidiella laburnicola,holotype of Camarosporium laburnicola,Yes,,MFLU 15-1522,,,,,,NCBI type_material qualifier,
PQ863620,Camarosporidiella longipedis,holotype of Camarosporidiella longipedis,Yes,,WU:MYC:0052686,Spain,2014-05-27,,,,NCBI type_material qualifier,
MF434159,Camarosporidiella mackenziei,holotype of Camarosporidiella mackenziei,Yes,,MFLU:17-0449,Russia,,Bulgakov T.S.,,,NCBI type_material qualifier,
PQ863623,Camarosporidiella maroccana,holotype of Camarosporidiella maroccana,Yes,,WU:MYC:0052629,Morocco,2015-05-11,,,,NCBI type_material qualifier,
MF434162,Camarosporidiella melnikii,holotype of Camarosporidiella melnikii,Yes,,MFLU:15-2022,Russia,,Bulgakov T.S.,,,NCBI type_material qualifier,
MK590359,Camarosporidiella mori,holotype of Camarosporidiella mori,Yes,,MFLU 17-2147,Russia,,,,,NCBI type_material qualifier,
KY053887,Camarosporidiella moricola,"culture from holotype of Camarosporium
                     moricola",Yes,MFLUCC 16-1396,,,,,,,NCBI type_material qualifier,
MF434169,Camarosporidiella moricola,holotype of Camarosporium moricola,Yes,,MFLU:15-2075,Russia,,Bulgakov T.S.,,,NCBI type_material qualifier,
PQ863627,Camarosporidiella neomori,epitype of Hendersonia mori,Yes,,WU:MYC:0052633,Austria,2016-04-29,,,,NCBI type_material qualifier,
PQ863628,Camarosporidiella neomori,epitype of Hendersonia mori,Yes,,WU:MYC:0052633,Austria,2016-04-29,,,,NCBI type_material qualifier,
PQ863648,Camarosporidiella neospartii,epitype of Sphaeria spartii,Yes,,WU:MYC:0052654,Belgium,2014-05-28,,,,NCBI type_material qualifier,
PQ863660,Camarosporidiella ononidis,holotype of Camarosporidiella ononidis,Yes,,WU:MYC:0052665,Spain,2014-05-14,,,,NCBI type_material qualifier,
MG571222,Camarosporidiella populina,"culture from holotype of Camarosporidiella
                     populina",Yes,MFLUCC 18-0087,,Russia,,T. Bulgakov,,,NCBI type_material qualifier,
MF434176,Camarosporidiella premilcurensis,"holotype of Camarosporidiella
                     premilcurensis",Yes,,MFLU:16-0185,Italy,,Erio Camporesi,,,NCBI type_material qualifier,
PQ863662,Camarosporidiella radiatae,holotype of Camarosporidiella radiatae,Yes,,WU:MYC:0052668,Italy,2011-10-19,,,,NCBI type_material qualifier,
PQ863664,Camarosporidiella retamae,epitype of Cucurbitaria retamae,Yes,,WU:MYC:0052670,Morocco,2015-05-08,,,,NCBI type_material qualifier,
MF434185,Camarosporidiella schulzeri,holotype of Camarosporidiella schulzeri,Yes,,MFLU:17-0460,Russia,,Bulgakov T.S.,,,NCBI type_material qualifier,
PQ863668,Camarosporidiella spartioidis,holotype of Camarosporidiella spartioidis,Yes,,WU:MYC:0052673,Spain,2014-05-16,,,,NCBI type_material qualifier,
PQ863667,Camarosporidiella spartioidis,holotype of Camarosporidiella spartioidis,Yes,,WU:MYC:0052673,Spain,2014-05-16,,,,NCBI type_material qualifier,
PQ863671,Camarosporidiella sphaerocarpae,"holotype of Camarosporidiella
                     sphaerocarpae",Yes,,WU:MYC:0052678,Spain,2014-04-03,,,,NCBI type_material qualifier,
PQ863678,Camarosporidiella steineri,epitype of Cucurbitaria steineri,Yes,,WU:MYC:0052685,Italy,2016-06-17,,,,NCBI type_material qualifier,
PQ863680,Camarosporidiella tridentatae,holotype of Camarosporidiella tridentatae,Yes,,WU:MYC:0052666,Spain,2015-04-10,,,,NCBI type_material qualifier,
OQ158926,Camarosporidiella xianggelilaensis,"holotype of Camarosporidiella
                     xianggelilaensis",Yes,HKAS122771,,China,01-Sep-2020,Guang-Cong Ren,,,NCBI type_material qualifier,
KX572340,Camarosporioides phragmitis,holotype of Camarosporioides phragmitis,Yes,,MFLU:16-1488,Italy,06-Apr-2011,Erio Camporesi,,,NCBI type_material qualifier,
KP744436,Camarosporium aureum,holotype of Camarosporium aureum,Yes,,MFLU 14-0770,Russia,18-Mar-2014,T. Bulgakov,,,NCBI type_material qualifier,
KY929136,Camarosporium quaternatum,"culture from type material of
                     Camarosporium quaternatum",Yes,,,Hungary,,R.K. Schumacher,,,NCBI type_material qualifier,
KY929138,Camarosporomyces flavigenus,type material of Phoma flavigena,Yes,,,Romania,,K. Fodor,,,NCBI type_material qualifier,
MH861266,Camarosporomyces flavigenus,type material of Phoma flavigena,Yes,,,Romania,,,,,NCBI type_material qualifier,
OQ871491,Camillea cribellum,holotype of Camillea cribellum,Yes,,GYJF18137,"French Guiana: Maripasoula, Sa?l, village,
                     next to Maison du Parc",24-Aug-2018,J. Fournier,,,NCBI type_material qualifier,
OP595160,Camillea heterostomoides,holotype of Camillea heterostomoides,Yes,,,French Guiana,27-Mar-2021,Jacques Fournier,,,NCBI type_material qualifier,
OQ871492,Camillea nitida,holotype of Camillea nitida,Yes,,GYJF19123,"French Guiana: Maripasoula, Sa?l, shortcut
                     to airfield",20-Jun-2019,J. Fournier,,,NCBI type_material qualifier,
OP595158,Camillea rogersii,holotype of Camillea rogersii,Yes,,,French Guiana,27-Mar-2021,Jacques Fournier,,,NCBI type_material qualifier,
OQ871493,Camillea saulensis,holotype of Camillea saulensis,Yes,,GYJF19203,"French Guiana: Maripasoula, Sa?l, trail
                     head to Roche Bateau",22-Jun-2019,J. Fournier,,,NCBI type_material qualifier,
MF075136,Campanella buettneri,epitype of Campanella buettneri,Yes,,DED 8276 (SFSU),Sao Tome and Principe,20-Apr-2008,D.E. Desjardin,,,NCBI type_material qualifier,
PX956813,Campanella gigantospora,Type of Campanella gigantospora,Yes,,F:C0004044F,Australia: New South Wales,01-Mar-1970,D. N. McVean,GITS7,ITS4,Mycota Labs; Run116 - Types; MyCoPortal.org #2832457,2832457
PX956804,Campanella simulans var. bispora,Isotype of Campanella simulans var. bispora,Yes,,F:C0004046F (M-296),India: Kerala,20-Jun-1985,P. Manimohan,GITS7,ITS4,Mycota Labs; Run116 - Types; MyCoPortal.org #2797037,2797037
MN792813,Camporesiomyces mali,"culture from holotype of Camporesiomyces
                     mali",Yes,,,China: Yunnan province,19-Aug-2018,Deping Wei,,,NCBI type_material qualifier,
JN127358,Camporesiomyces patagonicus,"type material of Acanthostigma
                     patagonicum",Yes,,BBB:MVB 573,,,,,,NCBI type_material qualifier,
AY916486,Camporesiomyces vaccinii,type material of Helicoma vaccinii,Yes,,,USA,,,,,NCBI type_material qualifier,
MH862204,Camporesiomyces vaccinii,type material of Helicoma vaccinii,Yes,,,USA: Georgia,,,,,NCBI type_material qualifier,
PQ677115,Camporesiomyces wurfbainiae,"culture from holotype of Camporesiomyces
                     wurfbainiae",Yes,ZHKUCC 24-0581,,"China: Guangdong Province, Guangzhou City,
                     Zhongkai University of Agriculture and Engineering",29-Oct-2020,C.F Liao,,,NCBI type_material qualifier,
MN758890,Camposporium appendiculatum,"culture from holotype of Camposporium
                     appendiculatum",Yes,,DLUCC 1234,China,Dec-2016,Zong-Long Luo,,,NCBI type_material qualifier,
MT864352,Camposporium dulciaquae,holotype of Camposporium dulciaquae,Yes,,MFLU 21-0015,Thailand: Chiang Mai,29-Jan-2019,Saranyaphat Boonmee,,,NCBI type_material qualifier,
MN758889,Camposporium multiseptatum,"culture from holotype of Camposporium
                     multiseptatum",Yes,,DLUCC 792,China,Oct-2016,Zong-Long Luo,,,NCBI type_material qualifier,
PP740383,Camposporium pini,"culture from holotype of Camposporium
                     pini",Yes,UESTCC 24.0124,,China,01-Apr-2023,Wenhui Tian,,,NCBI type_material qualifier,
MN758892,Camposporium septatum,"culture from holotype of Camposporium
                     septatum",Yes,,MFLUCC 19-0483,Thailand,06-Mar-2018,Ning-Guo Liu,,,NCBI type_material qualifier,
AY040665,Camptobasidium gelus,holotype of Camptobasidium gelus,Yes,,,,,,,,NCBI type_material qualifier,
KY173392,Camptomeriphila leucaenae,"culture from holotype of Camptomeriphila
                     leucaenae",Yes,,,Malaysia: Brumas,,M.J. Wingfield,,,NCBI type_material qualifier,
KC455241,Camptophora hylomeconis,"culture from holotype of Cyphellophora
                     hylomeconis",Yes,,,,,,,,NCBI type_material qualifier,
EU035415,Camptophora hylomeconis,"culture from holotype of Cyphellophora
                     hylomeconis",Yes,,,,,,,,NCBI type_material qualifier,
